Glottolog	GB_Feature	Gender_Value
yess1239	GB051	1
yeyi1239	GB051	0
yidi1250	GB051	0
yima1243	GB051	1
yind1247	GB051	0
yind1248	GB051	0
yine1238	GB051	0
ying1247	GB051	0
yong1270	GB051	0
yong1276	GB051	0
yort1237	GB051	0
yuca1254	GB051	0
yucu1253	GB051	1
yuec1235	GB051	0
yulp1239	GB051	0
yulu1243	GB051	0
yuwa1242	GB051	0
zand1248	GB051	NA
zapa1253	GB051	1
zulu1248	GB051	0
